Numero;Bloc;Sp;gf;mod;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N
7;C;C.r.;Forbs;P;336,264705882353;0,1833872707659115;0,1237605308283009;14679,19578313253;0,1907;0,2385057471264368;0,0103092783505155;0,356000000000000;45,78;4,94;47,38;2,61;9,26720647773279;18,1532567049808
8;C;P.l.;Forbs;P;182,639165009940;0,1448920511010932;0,1068009518012285;16329,17512953368;0,2253;0,1536624203821656;0,0510204081632653;0,408000000000000;42,37;2,43;48,08;1,65;17,43621399176955;29,1393939393939
9;C;C.n.;Forbs;P;182,934924623116;0,1727318099950090;0,1459072351248243;7622,02545871560;0,2853;0,2051764705882353;0,4269662921348315;0,560000000000000;43,96;2,28;47,51;1,20;19,28070175438597;39,5916666666667
10;C;R.a.;Forbs;P;311,578421578422;0,1048442000523697;0,2006973001966744;7810,57082405345;0,2350;0,2952005259697568;NA;NA;40,18;2,49;49,11;0,94;16,13654618473895;52,2446808510638
11;C;M.a.;Leg;P;172,953040540541;0,2047451061769385;0,1757379906321484;4818,54979338843;0,3423;0,2255358807082945;0,2555555555555555;0,504000000000000;37,70;2,81;45,94;3,99;13,41637010676157;11,5137844611529
12;C;T.p.;Leg;P;332,248991354467;0,1999539011178979;0,1073459905471441;11343,27462686567;0,2946;0,1293436293436293;0,1100000000000000;0,558000000000000;46,54;4,34;47,97;3,58;10,72350230414747;13,3994413407821
13;C;L.c.;Leg;P;239,502500000000;0,1645075056549455;0,1230206296132736;7078,62717948718;0,3351;0,1602300739523418;0,4499999999999999;0,809000000000000;43,10;3,99;47,88;3,36;10,80200501253133;14,2500000000000
14;C;M.s.;Leg;P;284,686928104575;0,2194807057810931;0,1620883178260227;5418,43166287016;0,3365;0,2074669187145557;0,0200000000000000;0,666000000000000;41,87;3,81;47,21;3,01;10,98950131233596;15,6843853820598
15;C;T.r.;Leg;P;381,529411764706;0,1395845307496510;0,0994318181818182;9488,81336405530;0,3224;0,1290898274836407;0,5299999999999999;0,477000000000000;45,80;5,34;46,82;3,84;8,57677902621723;12,1927083333333
17;C;F.o.;Grass;P+L;137,457142857143;0,2545454545454546;0,1389262829142211;20839,58449612403;0,1751;0,1993817619783617;0,3700000000000002;0,466000000000000;47,07;2,50;46,55;1,67;18,82800000000000;27,8742514970060
18;C;A.o.;Grass;P+L;265,039423076923;0,2535348610433935;0,1595548223475242;19289,31111111111;0,1885;0,1857798165137615;0,0800000000000000;0,426000000000000;47,87;2,50;47,39;0,95;19,14800000000000;49,8842105263158
19;C;D.g.;Grass;P+L;282,790600000000;0,2136386942403008;0,1492929217149931;18248,58894472362;0,1794;0,2167755991285403;0,3500000000000001;0,371000000000000;45,90;2,74;47,29;1,22;16,75182481751825;38,7622950819672
20;C;H.l.;Grass;P+L;384,583446474359;0,2061310782241015;0,1491618524481485;26190,36031746032;0,1654;0,1777652370203160;0,4700000000000001;0,430000000000000;45,88;2,74;47,80;1,08;16,74452554744526;44,2592592592593
21;C;G.v.;Forbs;P+L;226,696000000000;0,2027575020275750;0,1454891994917408;16756,77554585153;0,1834;0,2258382642998028;0,0202020202020202;0,546000000000000;45,21;2,98;45,74;1,71;15,17114093959732;26,7485380116959
23;C;P.l.;Forbs;P+L;229,156554712893;0,1432340161390441;0,1178669712861519;13967,93744493392;0,2301;0,1722306525037936;0,1700000000000000;0,620000000000000;45,29;2,55;47,37;1,40;17,76078431372549;33,8357142857143
24;C;C.n.;Forbs;P+L;216,275246440307;0,1425337600499571;0,1675769191627939;5796,07753036437;0,2997;0,2446755819712729;0,4899999999999999;0,739000000000000;43,37;2,41;46,15;0,90;17,99585062240664;51,2777777777778
25;C;R.a.;Forbs;P+L;347,559111791730;0,0981453091652388;0,1394169835234474;10992,33577712610;0,2210;0,2371349095966621;NA;0,608000000000000;44,62;3,33;48,81;1,18;13,39939939939940;41,3644067796610
26;C;M.a.;Leg;P+L;233,373267326733;0,1823104693140794;0,1332989889883444;7889,62898550725;0,3333;0,1452631578947368;0,6200000000000000;0,697000000000000;41,33;3,88;46,69;4,03;10,65206185567010;11,5856079404466
27;C;T.p.;Leg;P+L;335,526027397260;0,2106782106782107;0,1253842025662292;10481,79066147860;0,2755;0,1600249066002491;0,1900000000000000;0,499000000000000;46,51;4,80;47,17;3,69;9,68958333333333;12,7831978319783
28;C;L.c.;Leg;P+L;222,631858407080;0,2035669248784003;NA;4245,12220077220;0,4057;0,1822018994020401;0,3400000000000001;0,702000000000000;43,05;3,29;46,04;3,34;13,08510638297872;13,7844311377246
29;C;M.s.;Leg;P+L;293,986335403727;0,2129629629629630;0,1152819351185179;8534,17157894737;0,3253;0,1410192973775359;0,1000000000000000;0,565000000000000;42,67;4,08;46,94;3,64;10,45833333333333;12,8956043956044
30;C;T.r.;Leg;P+L;317,943750000000;0,1686933295845927;0,1212546667092122;8171,44947368421;0,3000;0,1731996353691887;0,3200000000000000;0,534000000000000;47,74;4,77;48,30;3,24;10,00838574423480;14,9074074074074
