"","Numero","Bloc","Type","Sp","mod","gf","Weight","AtomPer13C","APE13C","C amount","C concentration"
"164","42","B","NF","T.p.","L","Legumes",31.001,1.07448,-0.372708333333138,50.79,0.16
"165","43","B","NF","L.c.","L","Legumes",29.074,1.07416,-0.692708333333236,52.95,0.18
"166","44","B","NF","M.s.","L","Legumes",28.287,1.07438,-0.472708333333349,59.6,0.21
"167","45","B","NF","T.r.","L","Legumes",28.992,1.07509,0.237291666666861,53.34,0.18
"168","46","B","NF",NA,"T","Temoins",30.293,1.07331,-1.54270833333325,43.3,0.14
"169","47","B","NF",NA,"T","Temoins",30.472,1.07373,-1.12270833333317,43.34,0.14
"170","5","B","NF","H.l.","P","Grass",35.696,1.07549,0.637291666666817,52.26,0.15
"171","6","B","NF","G.v.","P","Forb",30.427,1.07505,0.197291666666821,45.96,0.15
"172","6","B","NF","G.v.","P","Forb",0,1.07486,0.00729166666668668,62.17,NA
"173","7","B","NF","C.r.","P","Forb",28.215,1.07535,0.497291666666788,64.85,0.23
"174","8","B","NF","P.l.","P","Forb",29.931,1.07561,0.757291666666715,53.25,0.18
"175","9","B","NF","C.n.","P","Forb",28.606,1.07509,0.237291666666861,50.34,0.18
"176","1","C","F","N.s.","P","Grass",30.459,1.09009,13.6616279069768,188.12,0.62
"177","10","C","F","R.a.","P","Forb",29.142,1.08846,12.0316279069768,134.96,0.46
"178","11","C","F","M.a.","P","Legumes",30.812,1.09088,14.4516279069768,211.83,0.69
"179","12","C","F","T.p.","P","Legumes",27.015,1.08247,6.04162790697682,162.16,0.6
"180","13","C","F","L.c.","P","Legumes",27.774,1.08456,8.13162790697675,181.59,0.65
"181","14","C","F","M.s.","P","Legumes",28.039,1.0996,23.1716279069767,175.38,0.63
"182","15","C","F","T.r.","P","Legumes",27.933,1.07889,2.46162790697668,156.38,0.56
"183","17","C","F","F.o.","P+L","Grass",27.7,1.08154,5.11162790697672,146.71,0.53
"184","18","C","F","A.o.","P+L","Grass",28.21,1.0881,11.6716279069768,166.69,0.59
"185","19","C","F","D.g.","P+L","Grass",28.216,1.07989,3.46162790697679,188.05,0.67
"186","2","C","F","F.o.","P","Grass",29.538,1.08021,3.78162790697667,150.97,0.51
"187","20","C","F","H.l.","P+L","Grass",24.804,1.07987,3.44162790697689,138.87,0.56
"188","21","C","F","G.v.","P+L","Forb",29.146,1.08401,7.5816279069767,166.87,0.57
"189","23","C","F","P.l.","P+L","Forb",27.717,1.08023,3.8016279069768,189.54,0.68
"190","24","C","F","C.n.","P+L","Forb",26.701,1.0871,10.6716279069767,147.18,0.55
"191","25","C","F","R.a.","P+L","Forb",29.72,1.08771,11.2816279069767,196.63,0.66
"192","26","C","F","M.a.","P+L","Legumes",28.306,1.11676,40.3316279069767,193.02,0.68
"193","27","C","F","T.p.","P+L","Legumes",29.782,1.0907,14.2716279069768,175.41,0.59
"194","28","C","F","L.c.","P+L","Legumes",28.732,1.10034,23.9116279069769,162.37,0.57
"195","29","C","F","M.s.","P+L","Legumes",28.324,1.11421,37.7816279069767,158.13,0.56
"196","3","C","F","A.o.","P","Grass",30.506,1.08367,7.24162790697669,208.87,0.68
"197","30","C","F","T.r.","P+L","Legumes",29.935,1.07984,3.41162790697669,172.76,0.58
"198","32","C","F","F.o.","L","Grass",28.002,1.07606,-0.368372093023206,174.11,0.62
"199","33","C","F","A.o.","L","Grass",29.185,1.07643,0.00162790697677551,188.02,0.64
"200","34","C","F","D.g.","L","Grass",28.497,1.07628,-0.148372093023319,125.8,0.44
"201","35","C","F","H.l.","L","Grass",32.242,1.07699,0.561627906976669,173.12,0.54
"202","36","C","F","G.v.","L","Forb",28.295,1.07625,-0.178372093023293,132.28,0.47
"203","38","C","F","P.l.","L","Forb",27.904,1.07655,0.121627906976673,158.63,0.57
"204","39","C","F","C.n.","L","Forb",28.03,1.07641,-0.0183720930231335,182.66,0.65
"205","4","C","F","D.g.","P","Grass",30.383,1.08226,5.83162790697678,170.27,0.56
"206","40","C","F","R.a.","L","Forb",31.087,1.07673,0.301627906976742,180.05,0.58
"207","41","C","F","M.a.","L","Legumes",27.97,1.07677,0.341627906976782,194.09,0.69
"208","42","C","F","T.p.","L","Legumes",28.99,1.07674,0.311627906976808,204.9,0.71
"209","43","C","F","L.c.","L","Legumes",31.274,1.0759,-0.528372093023144,180.78,0.58
"210","44","C","F","M.s.","L","Legumes",28.624,1.07597,-0.458372093023129,157.12,0.55
"211","45","C","F","T.r.","L","Legumes",28.491,1.07608,-0.348372093023297,152,0.53
"212","46","C","F",NA,"T","Temoins",29.411,1.07622,-0.208372093023268,180.59,0.61
"213","47","C","F",NA,"T","Temoins",30.3,1.07594,-0.488372093023326,197.3,0.65
"214","5","C","F","H.l.","P","Grass",28.693,1.07968,3.25162790697675,142.93,0.5
"215","6","C","F","G.v.","P","Forb",28.378,1.09366,17.2316279069769,162.59,0.57
"216","7","C","F","C.r.","P","Forb",28.026,1.08028,3.85162790697668,137.57,0.49
"217","8","C","F","P.l.","P","Forb",28.547,1.08333,6.90162790697668,164.1,0.57
"218","9","C","F","C.n.","P","Forb",30.697,1.08094,4.51162790697679,224.17,0.73
"219","KCl","C","KCl",NA,"KCl",NA,29.338,1.08438,NA,188.35,0.64
"220","1","C","NF","N.s.","P","Grass",30.352,1.07589,1.03729166666677,74.28,0.24
"221","10","C","NF","R.a.","P","Forb",32.439,1.07655,1.69729166666666,139.88,0.43
"222","11","C","NF","M.a.","P","Legumes",30.269,NA,NA,NA,NA
"223","12","C","NF","T.p.","P","Legumes",30.986,1.07564,0.78729166666669,71.38,0.23
"224","13","C","NF","L.c.","P","Legumes",30.054,1.07564,0.78729166666669,64.79,0.22
"225","14","C","NF","M.s.","P","Legumes",30.979,1.07603,1.1772916666668,69.55,0.22
"226","15","C","NF","T.r.","P","Legumes",30.662,1.07539,0.537291666666828,64.73,0.21
"227","17","C","NF","F.o.","P+L","Grass",28.292,1.07605,1.19729166666671,65.39,0.23
"228","18","C","NF","A.o.","P+L","Grass",29.251,1.07687,2.01729166666675,67.84,0.23
"229","19","C","NF","D.g.","P+L","Grass",27.992,1.07529,0.437291666666839,72.67,0.26
"230","2","C","NF","F.o.","P","Grass",30.389,1.07566,0.807291666666821,65.16,0.21
"231","20","C","NF","H.l.","P+L","Grass",28.694,1.07568,0.82729166666673,56.39,0.2
"232","21","C","NF","G.v.","P+L","Forb",28.695,1.07546,0.607291666666843,51.52,0.18
"233","23","C","NF","P.l.","P+L","Forb",27.941,1.07556,0.707291666666832,61.45,0.22
"234","24","C","NF","C.n.","P+L","Forb",28.589,1.07671,1.85729166666682,63.3,0.22
"235","24","C","NF","C.n.","P+L","Forb",28.063,1.0769,2.04729166666673,62.18,0.22
"236","25","C","NF","R.a.","P+L","Forb",30.207,1.07588,1.02729166666671,60.75,0.2
"237","26","C","NF","M.a.","P+L","Legumes",29.392,1.07881,3.95729166666681,64.36,0.22
"238","27","C","NF","T.p.","P+L","Legumes",27.775,1.07755,2.69729166666677,69.31,0.25
"239","28","C","NF","L.c.","P+L","Legumes",31.54,1.07831,3.45729166666686,59.74,0.19
"240","29","C","NF","M.s.","P+L","Legumes",29.322,1.07926,4.40729166666687,72.04,0.25
"241","3","C","NF","A.o.","P","Grass",30.291,1.07569,0.837291666666795,70.57,0.23
"242","30","C","NF","T.r.","P+L","Legumes",28.962,1.07756,2.70729166666683,39.8,0.14
"243","32","C","NF","F.o.","L","Grass",31.576,1.0752,0.347291666666694,58.35,0.18
"244","33","C","NF","A.o.","L","Grass",27.941,1.07455,-0.302708333333346,29.39,0.11
"245","34","C","NF","D.g.","L","Grass",31.033,1.07587,1.01729166666686,64.22,0.21
"246","35","C","NF","H.l.","L","Grass",31.077,1.07624,1.38729166666685,39.23,0.13
"247","36","C","NF","G.v.","L","Forb",31.178,1.07581,0.957291666666693,65.44,0.21
"248","38","C","NF","P.l.","L","Forb",29.676,1.07513,0.277291666666679,54.66,0.18
"249","39","C","NF","C.n.","L","Forb",27.75,1.07558,0.727291666666741,47.06,0.17
