Numero,Bloc,Sp,mod,gf,µmolNetRhizoPerGsoil,µmolGrossRhizoPerGSoil,µmolNetRhizoPerGFineRoot,µmolGrossRhizoPerGFineRoot,PropShoot,PropRoot,PropSoil,PropResp,PropRhizo
30,B,T.r.,P+L,Legumes,0.05014476256404303,0.07407585012713809,90.14230984826277,133.16182773636368,0.6410983049908532,0.19226157906444447,0.1128050374494506,0.05383507849525178,0.16664011594470238
1,C,N.s.,P,Grass,0.1112479960283534,0.1284235991325756,959.4004742528748,1107.5225290498902,0.6337805445328817,0.0579873601022526,0.26700858060801425,0.04122351475685138,0.3082320953648656
2,C,F.o.,P,Grass,0.0262846243226163,0.0363335851795994,25.20475633953893,34.84086932928747,0.5374305634703376,0.3671975727413849,0.0689943917791558,0.026377472009121775,0.09537186378827757
3,C,A.o.,P,Grass,0.06474762614503704,0.08732119341733337,39.24321542790227,52.92494271561182,0.6213809149655556,0.28137019282414233,0.072108896700004907,0.025139995510297122,0.09724889221030203
4,C,D.g.,P,Grass,0.04047905799854407,0.05739435326952294,80.55936458164965,114.22332580303114,0.788923957218981,0.11034788226490563,0.07104150180891664,0.02968665870719684,0.10072816051611347
5,C,H.l.,P,Grass,0.01975521800973979,0.03501849585523777,19.082281158985786,33.82563449033926,0.6384529007158616,0.3055481685145227,0.0315910509188994,0.02440787985071631,0.05599893076961571
6,C,G.v.,P,Forb,0.11366280041924245,NA,258.13172442183253,NA,NA,NA,NA,NA,NA
7,C,C.r.,P,Forb,0.021927116942649393,0.03118792653891161,86.88333090270655,123.57807680493694,0.8167675099058901,0.07301938765404938,0.07748689489826342,0.032726207541797114,0.11021310244006054
8,C,P.l.,P,Forb,0.03707767572360747,0.06534200760501577,48.19984289605649,84.94260871561073,0.7513118791846372,0.14657583602903024,0.05794260570612877,0.04416967908020382,0.10211228478633258
9,C,C.n.,P,Forb,0.04499163185903425,0.051896753368793895,23.48301410244089,27.087085772941847,0.5423206608836078,0.37363959332717,0.0728578390483502,0.011181906740872069,0.08403974578922227
10,C,R.a.,P,Forb,0.05927838898345154,0.08111731514039151,16.80257606138792,22.992862675848006,0.327822319419249,0.5568366569482905,0.08428817019894118,0.031052853433519285,0.11534102363246046
11,C,M.a.,P,Legumes,0.11005656497981127,0.14044790231412105,75.31961427819459,96.11858983988517,0.39044095867145984,0.42862173391593844,0.14178452082530632,0.03915278658729533,0.18093730741260167
12,C,T.p.,P,Legumes,0.036860451477907064,0.050128829810789116,46.32020942839834,62.993745386651234,0.5907473568141213,0.307719905114509,0.074658486528111,0.026874251543258655,0.10153273807136964
13,C,L.c.,P,Legumes,0.06202731869254657,0.0789312216327634,31.083600024716443,39.554611974382844,0.6799640226343912,0.2432999924009403,0.060302213701127566,0.016433771263541036,0.0767359849646686
14,C,M.s.,P,Legumes,0.1581404734906473,0.20493883131627644,134.10118181005151,173.78561522967007,0.5574718460188982,0.2512260874919639,0.14761770221888101,0.043684364270257,0.191302066489138
15,C,T.r.,P,Legumes,0.015183669387564764,0.020411056209829755,43.8389053939914,58.93162840512032,0.7983640348077724,0.14180126120901004,0.04451069821396372,0.015324005769254002,0.059834703983217725
17,C,F.o.,P+L,Grass,0.03146390060900187,0.04345306438221165,37.810235685553984,52.217639064144414,0.7073325037586259,0.226534786417898,0.047885990055551164,0.018246719767924868,0.06613270982347604
18,C,A.o.,P+L,Grass,0.0685513326089762,0.10704290923862388,29.743950156403493,46.44517963131691,0.5621093788139016,0.3767932203634396,0.03912737681672405,0.021970024005934882,0.06109740082265893
19,C,D.g.,P+L,Grass,0.028227274294104394,0.037724702722650126,45.09081231519782,60.262194372374495,0.6579631151110247,0.2714776688964367,0.05279549473036736,0.01776372126217144,0.07055921599253881
20,C,H.l.,P+L,Grass,0.02130948128314158,0.032707068554479204,17.98925024784981,27.61097904178377,0.8541507956127097,0.09191102917971379,0.03514208352601681,0.01879609168155984,0.053938175207576655
21,C,G.v.,P+L,Forb,0.05005491211965084,0.05904764518164981,63.0208974811972,74.3430651641871,0.670404161341096,0.18365235587476234,0.12371684226733937,0.022226640516802395,0.14594348278414176
23,C,P.l.,P+L,Forb,0.0328262256238644,0.04838786916559965,48.01905132073796,70.78302572425169,0.7915101329375965,0.13024079499864472,0.05308400098446728,0.025165071079291362,0.07824907206375864
24,C,C.n.,P+L,Forb,0.07258894488642381,0.1013503710082898,33.14147277320063,46.27289412431216,0.7570668672495556,0.11122641012913775,0.09433070579236015,0.03737601682894643,0.1317067226213066
25,C,R.a.,P+L,Forb,0.07512285333468358,0.09280580916430556,37.91976654331946,46.84559306734362,0.2413950184757648,0.6711466819861169,0.0707942430357027,0.0166640565024157,0.0874582995381184
26,C,M.a.,P+L,Legumes,0.2981782186979096,0.38247840227102037,183.8490142781188,235.82633750803163,0.3727835304760346,0.3602309294837701,0.208140570224602,0.05884496981559339,0.26698554004019537
27,C,T.p.,P+L,Legumes,0.08931445570916578,0.12733496381366008,92.06847494095327,131.26134881413202,0.8107116469313771,0.09306062652695213,0.06749542123227725,0.028732305309393493,0.09622772654167075
28,C,L.c.,P+L,Legumes,0.1374639572199129,0.17735642743678104,71.52185268804936,92.27771797751397,0.46804232944346197,0.39901071698147805,0.1030434284388937,0.029903525136166294,0.13294695357506
29,C,M.s.,P+L,Legumes,0.2210742952901,0.31879314801698877,194.46710695465728,280.4250993109819,0.4966925483316604,0.3341968730747054,0.11727354311484899,0.051837035478785286,0.16911057859363426
30,C,T.r.,P+L,Legumes,0.021971059734195005,0.031694919529204064,19.034885317178208,27.45926530965739,0.7696489186895806,0.12701137117014333,0.0716355484769209,0.03170416166335525,0.10333971014027615
