"Numero","Bloc","Sp","mod","gf","Weight","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","APE15N","APE13C"
"21","B","G.v.","P+L","Forb",2.088,36.638,0.379673,11.42,0.55,-28.41,1.07459,134.56,6.44,119.691666666666,1.33333333333319
"23","B","P.l.","P+L","Forb",1.999,60.674,0.388442,11.98,0.6,-28.2,1.07481,142.68,7.14,207.381666666667,3.53333333333428
"24","B","C.n.","P+L","Forb",1.939,26.051,0.37581,10.91,0.56,-28.08,1.07495,130.05,6.71,81.0616666666664,4.93333333333457
"25","B","R.a.","P+L","Forb",1.995,4.644,0.367998,9.8,0.49,-28.29,1.07471,119.36,5.98,2.94166666666651,2.53333333333439
"26","B","M.a.","P+L","Legumes",1.893,17.147,0.37256,11.56,0.61,-27.86,1.07519,141.22,7.46,48.5616666666666,7.33333333333475
"27","B","T.p.","P+L","Legumes",1.878,32.766,0.37826,10.29,0.55,-28.13,1.07489,127.1,6.77,105.561666666666,4.33333333333286
"28","B","L.c.","P+L","Legumes",2.175,31.226,0.377698,9.92,0.46,-28.07,1.07496,125.33,5.76,99.9416666666664,5.033333333333
"29","B","M.s.","P+L","Legumes",2.114,32.495,0.378161,10.71,0.51,-28.75,1.07421,125.42,5.93,104.571666666667,-2.46666666666506
"30","B","T.r.","P+L","Legumes",1.99,63.123,0.389335,11.46,0.58,-28.47,1.07452,137.55,6.91,216.311666666666,0.633333333333042
"32","B","F.o.","L","Grass",1.79,47.759,0.38373,10.64,0.59,-28.45,1.07454,128.95,7.2,160.261666666667,0.833333333334352
"33","B","A.o.","L","Grass",2.208,30.503,0.377434,10.55,0.48,-28.52,1.07446,123.88,5.61,97.3016666666665,0.0333333333335517
"34","B","D.g.","L","Grass",1.999,61.498,0.388742,10.32,0.52,-28.32,1.07468,124.14,6.21,210.381666666666,2.23333333333464
"35","B","H.l.","L","Grass",1.816,24.824,0.375362,11.08,0.61,-28.47,1.07452,132.36,7.29,76.5816666666663,0.633333333333042
"36","B","G.v.","L","Forb",1.985,24.587,0.375275,11,0.55,-28.22,1.0748,129.81,6.54,75.7116666666669,3.43333333333362
"38","B","P.l.","L","Forb",1.978,37.983,0.380163,11.36,0.57,-27.66,1.0754,135.05,6.83,124.591666666666,9.43333333333296
"39","B","C.n.","L","Forb",2.215,35.703,0.379331,13.32,0.6,-28.64,1.07433,161.08,7.27,116.271666666666,-1.26666666666608
"40","B","R.a.","L","Forb",1.862,34.871,0.379028,10.98,0.59,-28.48,1.07451,129.58,6.96,113.241666666666,0.533333333334607
"41","B","M.a.","L","Legumes",1.977,24.336,0.375184,11.63,0.59,-28.66,1.07431,133.9,6.77,74.8016666666668,-1.46666666666517
"42","B","T.p.","L","Legumes",1.778,32.567,0.378187,13.94,0.78,-28.46,1.07453,157.5,8.86,104.831666666667,0.733333333333697
"43","B","L.c.","L","Legumes",2.232,43.344,0.382119,15.08,0.68,-28.67,1.0743,174.79,7.83,144.151666666666,-1.56666666666583
"44","B","M.s.","L","Legumes",1.895,23.418,0.374849,12.08,0.64,-28.63,1.07434,137.49,7.26,71.4516666666665,-1.16666666666543
"45","B","T.r.","L","Legumes",1.916,58.615,0.38769,10.74,0.56,-28.6,1.07438,124.93,6.52,199.861666666666,-0.766666666667248
"46","B",NA,"T","Temoins",2,5.035,0.36814,10.78,0.54,-28.5,1.07448,124.77,6.24,4.36166666666682,0.233333333334862
"47","B",NA,"T","Temoins",2.248,4.599,0.367981,16.21,0.72,-28.88,1.07407,181.4,8.07,2.77166666666662,-3.86666666666535
"1","C","N.s.","P","Grass",2.028,2.819,0.367332,12.29,0.61,-28.5,1.07449,146.7,7.23,-3.71833333333349,0.333333333333297
"2","C","F.o.","P","Grass",2.088,2.58,0.367244,9.68,0.46,-28.33,1.07468,115.72,5.54,-4.59833333333326,2.23333333333464
"3","C","A.o.","P","Grass",2.274,2.497,0.367214,13.19,0.58,-28.37,1.07463,159.12,7,-4.89833333333356,1.73333333333359
"4","C","D.g.","P","Grass",1.941,2.315,0.367148,9.54,0.49,-28.37,1.07462,115.71,5.96,-5.55833333333366,1.63333333333293
"5","C","H.l.","P","Grass",1.829,2.149,0.367087,8.78,0.48,-28.48,1.07451,104.07,5.69,-6.16833333333344,0.533333333334607
"6","C","G.v.","P","Forb",2.316,2.444,0.367195,10.93,0.47,-28.07,1.07496,134.54,5.81,-5.08833333333347,5.033333333333
"7","C","C.r.","P","Forb",2.384,2.503,0.367216,10.9,0.46,-28.46,1.07453,130.58,5.48,-4.87833333333354,0.733333333333697
"8","C","P.l.","P","Forb",1.999,2.846,0.367341,9.87,0.49,-28.43,1.07457,115.33,5.77,-3.62833333333368,1.1333333333341
"9","C","C.n.","P","Forb",2.183,2.846,0.367341,14.02,0.64,-28.71,1.07426,162.89,7.46,-3.62833333333368,-1.96666666666623
"10","C","R.a.","P","Forb",2.11,1.951,0.367015,9.85,0.47,-28.2,1.07482,115.95,5.5,-6.88833333333361,3.63333333333493
"11","C","M.a.","P","Legumes",2.149,2.308,0.367145,13.71,0.64,-28.48,1.07451,157.45,7.33,-5.58833333333342,0.533333333334607
"12","C","T.p.","P","Legumes",2.174,2.753,0.367307,10.75,0.49,-28.41,1.07459,127.71,5.87,-3.96833333333346,1.33333333333319
"13","C","L.c.","P","Legumes",2.323,2.487,0.36721,15.06,0.65,-28.8,1.07416,170.77,7.35,-4.9383333333336,-2.96666666666612
"14","C","M.s.","P","Legumes",2.156,2.512,0.36722,10.95,0.51,-28.4,1.0746,128.45,5.96,-4.8383333333335,1.43333333333384
"15","C","T.r.","P","Legumes",1.867,2.533,0.367227,9.6,0.51,-28.35,1.07465,116.7,6.25,-4.76833333333315,1.9333333333349
"17","C","F.o.","P+L","Grass",2.166,30.081,0.37728,10.89,0.5,-28.3,1.0747,127.37,5.88,95.7616666666666,2.43333333333373
"18","C","A.o.","P+L","Grass",1.922,49.601,0.384402,12.12,0.63,-28.21,1.07481,142.39,7.41,166.981666666667,3.53333333333428
"19","C","D.g.","P+L","Grass",2.203,21.14,0.374017,13.9,0.63,-28.48,1.0745,168.31,7.64,63.1316666666665,0.433333333333952
