Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya Ad,Lcya Juv,Dorn Ad,Dorn Juv,Bhor Ad,Bhor Juv,Isp Ad,Isp Juv,Sele Ad,Sele Juv,Eniv Ad,Eniv Juv,Svir Ad,Svir Juv,Afus Ad,Afus Juv
40,B,L,Forb,R.a.,0,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,B,L,Legumes,M.a.,1,4,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,B,L,Legumes,T.p.,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,B,L,Legumes,L.c.,3,1,1,2,NA,0.667,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,B,L,Legumes,M.s.,3,21,1,1,NA,0.333,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
45,B,L,Legumes,T.r.,1,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
46,B,T,Temoins, ,3,17,1,2,NA,0.667,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,B,T,Temoins, ,1,2,4,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,C,P,Grass,N.s.,0,37,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,C,P,Grass,F.o.,0,17,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,C,P,Grass,A.o.,0,61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,C,P,Grass,D.g.,12,71,3,10,NA,0.833,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
5,C,P,Grass,H.l.,14,44,8,12,NA,0.857,NA,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,C,P,Forb,G.v.,5,204,2,3,176,0.6,0.718,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,C,P,Forb,C.r.,4,17,1,2,NA,0.5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
8,C,P,Forb,P.l.,12,37,9,9,NA,0.75,NA,1,9,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
9,C,P,Forb,C.n.,21,138,5,20,91,0.952,0.659,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,C,P,Forb,R.a.,0,6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,C,P,Legumes,M.a.,3,66,15,2,NA,0.667,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,C,P,Legumes,T.p.,4,44,6,2,NA,0.5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,C,P,Legumes,L.c.,8,37,2,5,NA,0.625,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
