Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N;BG_Delta15N;BG_NperMS;BG_APE15N;BG_Delta13C;BG_CperMS;BG_APE13C;AG_Delta15N;AG_NperMS;AG_APE15N;AG_Delta13C;AG_CperMS;AG_APE13C
7;B;C.r.;Forbs;P;16,5581450680000;2,609317873800000;0,04535337956673106;5,686315789473685;6,28910891089109;5,34851485148515;0,940594059405940;6,28093069306931;324,875531914894;0,1893634165995165;0,0735594605639559;46600,34444444445;0,1685;0,0962566844919786;0,0599999999999999;0,449000000000000;47,74;6,44;47,46;2,59;7,41304347826087;18,3243243243243;0,560;1,88;-65,706666666666095;-1,93;45,05;301,89999999999901;5,047;3,47;-8,099999999999770;48,06;40,62;853,299999999999
8;B;P.l.;Forbs;P;14,2180382000000;2,212373949200000;0,01801760965838303;4,268031189083820;16,05445544554455;13,00693069306931;3,047524752475248;16,00594059405941;251,681977671451;0,1357730619315721;0,1176470588235294;14525,59166666667;0,2435;0,1479198767334360;0,5700000000000001;0,693000000000000;46,16;3,37;46,53;1,14;13,69732937685460;40,8157894736842;3,802;0,67;-51,829999999999899;-20,50;44,55;109,99999999999901;10,242;1,47;1,496666666666590;10,70;40,32;441,600000000000
9;B;C.n.;Forbs;P;17,8008681800000;2,639921148500000;0,02294898024230276;0,768221443336029;19,48019801980198;8,46336633663366;11,016831683168316;19,40375247524752;237,493640897756;0,1622988970960235;0,1680040120361083;4471,43816631130;0,3281;0,2643742953776775;0,3513513513513514;0,583000000000000;45,59;3,39;42,71;0,91;13,44837758112094;46,9340659340659;3,232;1,06;-44,626666666666701;-19,47;43,04;68,00000000000141;7,131;1,92;-7,293333333333600;-2,71;38,71;253,200000000000
10;B;R.a.;Forbs;P;16,9124991380000;1,911612323600000;0,01169712775997537;0,724531655955149;24,97326732673267;10,49207920792079;14,481188118811881;24,92918811881188;348,917157490397;0,0979126183163042;0,1930343354690323;7222,61361702128;0,2365;0,3150134048257373;0,0000000000000000;NA;44,00;4,49;47,76;0,97;9,79955456570156;49,2371134020619;6,142;0,70;-9,979999999999990;-12,89;43,99;142,90000000000100;15,683;1,73;10,426666666666900;1,26;36,49;302,800000000001
11;B;M.a.;Leg;P;31,2841893010000;NA;0,06874415267660818;1,472212043483571;20,03960396039604;11,93366336633663;8,105940594059408;19,95732672970297;188,351824817518;0,1974917111143146;0,0910736508654825;10408,91180124224;0,3463;0,1020278833967047;0,1224489795918368;0,575000000000000;39,44;4,41;40,94;2,94;8,94331065759637;13,9251700680272;1,511;2,65;1,130000000000300;19,09;40,57;541,80000000000098;4,029;3,21;-11,863333333333401;27,71;38,07;638,300000000000
12;B;T.p.;Leg;P;19,6667723720000;1,464074896400000;0,02608385877718541;2,267036124794745;15,75940594059406;10,93564356435644;4,823762376237624;15,71693069603960;334,240072202166;0,2061932410302219;0,1007133864876206;14641,55333333333;0,2702;0,1191658391261172;0,4300000000000001;0,515000000000000;48,76;6,41;45,91;2,97;7,60686427457098;15,4579124579125;1,321;2,17;-0,560000000000005;-7,54;43,01;247,90000000000100;5,399;2,79;-0,306666666666788;16,37;39,23;508,800000000000
13;B;L.c.;Leg;P;15,5718944040000;7,608693584200000;0,02603508333651946;2,318941730238598;20,24554455445545;14,14554455445545;6,100000000000000;20,22315841584158;243,888888888889;0,1753143261908978;0,1056537648817193;7700,13414634146;0,3466;0,1376762928139691;0,2000000000000001;0,564000000000000;42,86;4,64;47,94;2,72;9,23706896551724;17,6250000000000;1,689;3,41;0,283333333333524;17,37;44,11;517,60000000000002;3,885;2,75;-3,416666666666850;31,12;39,92;642,400000000001
14;B;M.s.;Leg;P;26,9632245420000;2,865409398800000;0,01870449800313078;1,404874382649775;22,17722772277228;12,95544554455446;9,221782178217822;22,12371286831683;311,668666666667;0,1974203737825743;0,1117662589104990;8241,62440944882;0,3458;0,1291963377416073;0,0978260869565217;0,627000000000000;44,62;5,74;45,04;2,75;7,77351916376307;16,3781818181818;0,677;2,04;-2,473333333333220;7,15;42,98;387,93846153846198;4,531;2,96;-1,430000000000040;39,22;39,24;743,684615384614
15;B;T.r.;Leg;P;52,7801985840000;5,376520459800000;0,03356965167930313;2,537020905923345;8,04059405940594;5,76732673267327;2,273267326732674;8,03589504950495;387,259428571429;0,1372333751568381;0,0731050404001539;13894,13157894737;0,3131;0,0935039370078740;0,0000000000000000;0,699000000000000;47,28;6,70;44,93;3,55;7,05671641791045;12,6563380281690;3,700;2,50;1,993333333333290;12,50;35,41;446,43846153846101;8,108;3,39;1,973333333333270;30,60;38,15;649,584615384615
17;B;F.o.;Grass;P+L;20,0631536800000;0,285480690900000;0,01351638906795581;1,859845559845560;14,66732673267327;9,53861386138614;5,128712871287129;14,64792079207920;176,948611111111;0,2312881464824927;0,1099055444362513;21165,22204472843;0,1763;0,1935683364254793;0,4400000000000001;0,595000000000000;47,45;4,27;46,20;1,35;11,11241217798595;34,2222222222222;392,011;1,14;1396,756666666670071;52,72;40,86;909,80000000000098;130,405;3,00;446,029999999999973;53,96;41,60;924,300000000000
