"Numero","Bloc","Type","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"7","B","NF","C.r.","P","Forb",0.368292,1.07535,1.07584111111111,0.3684775,NA,NA
"8","B","NF","P.l.","P","Forb",0.36853,1.07561,1.07584111111111,0.3684775,0.525000000000109,NA
"9","B","NF","C.n.","P","Forb",0.36815,1.07509,1.07584111111111,0.3684775,NA,NA
"1","C","F","N.s.","P","Grass",0.369937,1.09009,1.07642837209302,0.36976428,1.72720000000015,136.616279069768
"10","C","F","R.a.","P","Forb",0.369295,1.08846,1.07642837209302,0.36976428,NA,120.316279069768
"11","C","F","M.a.","P","Legumes",0.369112,1.09088,1.07642837209302,0.36976428,NA,144.516279069769
"12","C","F","T.p.","P","Legumes",0.369728,1.08247,1.07642837209302,0.36976428,NA,60.4162790697682
"13","C","F","L.c.","P","Legumes",0.369275,1.08456,1.07642837209302,0.36976428,NA,81.3162790697675
"14","C","F","M.s.","P","Legumes",0.369641,1.0996,1.07642837209302,0.36976428,NA,231.716279069767
"15","C","F","T.r.","P","Legumes",0.37013,1.07889,1.07642837209302,0.36976428,3.65720000000014,24.6162790697668
"17","C","F","F.o.","P+L","Grass",0.427028,1.08154,1.07642837209302,0.36976428,572.6372,51.1162790697672
"18","C","F","A.o.","P+L","Grass",0.472501,1.0881,1.07642837209302,0.36976428,1027.3672,116.716279069768
"19","C","F","D.g.","P+L","Grass",0.408709,1.07989,1.07642837209302,0.36976428,389.4472,34.6162790697679
"2","C","F","F.o.","P","Grass",0.370012,1.08021,1.07642837209302,0.36976428,2.47720000000007,37.8162790697667
"20","C","F","H.l.","P+L","Grass",0.447305,1.07987,1.07642837209302,0.36976428,775.4072,34.4162790697689
"21","C","F","G.v.","P+L","Forb",0.41517,1.08401,1.07642837209302,0.36976428,454.0572,75.816279069767
"23","C","F","P.l.","P+L","Forb",0.406488,1.08023,1.07642837209302,0.36976428,367.2372,38.016279069768
"24","C","F","C.n.","P+L","Forb",0.394773,1.0871,1.07642837209302,0.36976428,250.0872,106.716279069767
"25","C","F","R.a.","P+L","Forb",0.437881,1.08771,1.07642837209302,0.36976428,681.1672,112.816279069767
"26","C","F","M.a.","P+L","Legumes",0.441137,1.11676,1.07642837209302,0.36976428,713.7272,403.316279069768
"27","C","F","T.p.","P+L","Legumes",0.42017,1.0907,1.07642837209302,0.36976428,504.0572,142.716279069768
"28","C","F","L.c.","P+L","Legumes",0.439335,1.10034,1.07642837209302,0.36976428,695.7072,239.116279069769
"29","C","F","M.s.","P+L","Legumes",0.435413,1.11421,1.07642837209302,0.36976428,656.4872,377.816279069767
"3","C","F","A.o.","P","Grass",0.369557,1.08367,1.07642837209302,0.36976428,NA,72.4162790697669
"30","C","F","T.r.","P+L","Legumes",0.433172,1.07984,1.07642837209302,0.36976428,634.0772,34.1162790697669
"32","C","F","F.o.","L","Grass",0.410675,1.07606,1.07642837209302,0.36976428,409.1072,NA
"33","C","F","A.o.","L","Grass",0.445134,1.07643,1.07642837209302,0.36976428,753.6972,0.0162790697677551
"34","C","F","D.g.","L","Grass",0.435912,1.07628,1.07642837209302,0.36976428,661.4772,NA
"35","C","F","H.l.","L","Grass",0.45069,1.07699,1.07642837209302,0.36976428,809.2572,5.6162790697667
"36","C","F","G.v.","L","Forb",0.43019,1.07625,1.07642837209302,0.36976428,604.2572,NA
"38","C","F","P.l.","L","Forb",0.420238,1.07655,1.07642837209302,0.36976428,504.7372,1.21627906976673
"39","C","F","C.n.","L","Forb",0.405494,1.07641,1.07642837209302,0.36976428,357.2972,NA
"4","C","F","D.g.","P","Grass",0.370088,1.08226,1.07642837209302,0.36976428,3.23719999999972,58.3162790697678
"40","C","F","R.a.","L","Forb",0.415908,1.07673,1.07642837209302,0.36976428,461.4372,3.01627906976742
"41","C","F","M.a.","L","Legumes",0.444462,1.07677,1.07642837209302,0.36976428,746.9772,3.41627906976782
"42","C","F","T.p.","L","Legumes",0.453392,1.07674,1.07642837209302,0.36976428,836.2772,3.11627906976808
"43","C","F","L.c.","L","Legumes",0.431453,1.0759,1.07642837209302,0.36976428,616.8872,NA
"44","C","F","M.s.","L","Legumes",0.440082,1.07597,1.07642837209302,0.36976428,703.1772,NA
