Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;DON
11;C;M.a.;Leg;P;468,918367346939;111,2777777777778;8,91696563148148;22,1140747592593;11,84;6,25;0,065229387;243,3469387755102;712,244897959184;22,1140747592593;133,3888888888889;13,197109127777777
12;C;T.p.;Leg;P;335,081632653061;96,0000000000000;10,81841138703704;26,1134067962963;8,36;6,45;0,065537190;231,1632653061224;566,244897959184;26,1134067962963;122,1111111111111;15,294995409259259
13;C;L.c.;Leg;P;514,734693877551;108,8703703703704;9,27850192037037;20,9059916666667;9,49;6,66;0,043127417;194,5714285714286;709,306122448980;20,9059916666667;129,7777777777778;11,627489746296297
14;C;M.s.;Leg;P;400,265306122449;103,1481481481482;12,92691955555556;27,4050694629630;10,05;6,64;0,049701420;243,1020408163265;643,346938775510;27,4050694629630;130,5555555555555;14,478149907407408
15;C;T.r.;Leg;P;344,510204081633;97,0185185185185;23,03162831481481;37,9571528148148;6,70;6,27;0,064478266;226,0816326530612;570,591836734694;37,9571528148148;134,9814814814815;14,925524499999998
17;C;F.o.;Grass;P+L;314,163265306122;87,7962962962963;12,17173575370370;32,2421510925926;7,26;6,15;0,104045033;256,6326530612245;570,795918367347;32,2421510925926;120,0370370370370;20,070415338888893
18;C;A.o.;Grass;P+L;320,877551020408;95,6666666666667;7,56886389444444;19,5134772222222;10,37;6,45;0,042915458;227,0408163265306;547,918367346939;19,5134772222222;115,1851851851852;11,944613327777777
19;C;D.g.;Grass;P+L;517,204081632653;132,0370370370370;13,94737690185185;29,9803428703704;6,18;6,51;0,064194432;237,8367346938776;755,020408163265;29,9803428703704;162,0185185185185;16,032965968518518
20;C;H.l.;Grass;P+L;359,265306122449;108,5555555555555;7,89312617777778;18,1040751203704;7,13;NA;0,062784181;214,0204081632653;573,285714285714;18,1040751203704;126,6666666666667;10,210948942592591
21;C;G.v.;Forbs;P+L;424,897959183673;98,2037037037037;12,26053159444444;23,9018444259259;6,87;6,12;0,015515145;188,7346938775510;613,612244897959;23,9018444259259;122,1111111111111;11,641312831481482
23;C;P.l.;Forbs;P+L;569,897959183673;120,9444444444444;8,77680542407407;22,9639703518518;9,00;6,31;0,065963103;229,8571428571429;799,755102040816;22,9639703518518;143,9074074074074;14,187164927777776
24;C;C.n.;Forbs;P+L;410,714285714286;88,9814814814815;12,46251042592592;27,2928978333333;8,41;6,34;0,037148251;223,2653061224490;633,979591836735;27,2928978333333;116,2777777777778;14,830387407407407
25;C;R.a.;Forbs;P+L;429,653061224490;102,1296296296296;6,91245484259259;16,9235963407407;8,14;6,41;0,039644120;191,3469387755102;620,979591836735;16,9235963407407;119,0555555555556;10,011141498148149
26;C;M.a.;Leg;P+L;499,877551020408;102,3888888888889;11,14735582222222;25,5662182407407;11,49;6,43;0,027742376;207,8367346938776;707,714285714286;25,5662182407407;127,9444444444444;14,418862418518522
27;C;T.p.;Leg;P+L;362,204081632653;85,4444444444444;11,32096399259259;27,1703135740741;10,20;6,29;0,107079636;223,0000000000000;585,204081632653;27,1703135740741;112,6111111111111;15,849349581481480
28;C;L.c.;Leg;P+L;354,265306122449;76,7407407407407;12,63248172222222;27,1539326666667;8,32;5,86;0,022440954;188,0408163265306;542,285714285714;27,1539326666667;103,8888888888889;14,521450944444444
29;C;M.s.;Leg;P+L;315,959183673469;82,1666666666667;16,12745097962963;35,7107843148148;12,10;5,98;0,128282353;242,8979591836735;558,857142857143;35,7107843148148;117,8888888888889;19,583333335185181
30;C;T.r.;Leg;P+L;510,530612244898;105,0555555555555;14,44544006296296;30,5324074074074;8,77;6,36;0,065335412;85,7346938775510;596,265306122449;30,5324074074074;135,5925925925926;16,086967344444446
32;C;F.o.;Grass;L;478,551020408163;134,6666666666667;33,89575027777777;43,1280557962963;7,02;6,41;0,147854054;183,6530612244898;662,204081632653;43,1280557962963;177,7962962962963;9,232305518518523
33;C;A.o.;Grass;L;610,959183673469;115,1481481481481;68,35607537037036;81,0916179259259;6,41;6,04;0,161122807;99,3877551020408;710,346938775510;81,0916179259259;196,2222222222222;12,735542555555554
34;C;D.g.;Grass;L;168,816326530612;83,6666666666667;17,11812551296296;39,0679800000000;8,81;6,34;0,234971122;230,5102040816327;399,326530612245;39,0679800000000;122,7222222222222;21,949854487037037
35;C;H.l.;Grass;L;518,204081632653;100,3333333333333;28,42810192592592;50,4716419629630;9,03;6,57;0,148939060;109,2653061224490;627,469387755102;50,4716419629630;150,8148148148148;22,043540037037040
36;C;G.v.;Forbs;L;317,367346938775;81,6296296296296;50,78131744444444;63,9844599814815;4,94;6,33;0,144787692;218,3673469387755;535,734693877551;63,9844599814815;145,6111111111111;13,203142537037031
38;C;P.l.;Forbs;L;438,020408163265;112,5370370370370;52,42606140740741;58,9632964444444;4,22;6,33;0,154494091;177,3061224489796;615,326530612245;58,9632964444444;171,5000000000000;6,537235037037028
39;C;C.n.;Forbs;L;619,142857142857;126,7037037037037;41,91514329629629;71,8251310000000;8,17;6,53;0,177517149;151,9795918367347;771,122448979592;71,8251310000000;198,5370370370370;29,909987703703692
40;C;R.a.;Forbs;L;466,040816326531;116,3703703703704;27,07260466666667;36,5672622222222;6,85;6,40;0,169610510;143,6530612244898;609,714285714286;36,5672622222222;152,9444444444444;9,494657555555559
41;C;M.a.;Leg;L;516,020408163265;167,3518518518518;32,39244868518519;44,6135347962963;6,07;6,31;0,260853170;252,6734693877551;768,693877551020;44,6135347962963;211,9629629629629;12,221086111111106
42;C;T.p.;Leg;L;584,428571428571;160,9629629629630;50,38291011111111;58,8472390185185;9,23;6,21;0,239129383;224,0000000000000;808,428571428571;58,8472390185185;219,7962962962963;8,464328907407406
43;C;L.c.;Leg;L;437,326530612245;115,4814814814815;46,21881651851852;63,8126862407407;8,78;6,27;0,112801839;285,9183673469388;723,244897959184;63,8126862407407;179,2962962962963;17,593869722222223
44;C;M.s.;Leg;L;392,367346938775;109,6666666666667;26,72437090740740;39,9542574814815;6,06;6,61;0,160028708;231,0612244897959;623,428571428571;39,9542574814815;149,6296296296296;13,229886574074072
45;C;T.r.;Leg;L;358,000000000000;111,8333333333333;33,05586661111111;46,2515553148148;6,47;6,30;0,158348264;233,0816326530612;591,081632653061;46,2515553148148;158,0740740740741;13,195688703703702
46;C;NA;NA;T;555,979591836735;130,8888888888889;80,34425792592592;81,1268318703704;4,61;5,49;0,161711079;186,2857142857143;742,265306122449;81,1268318703704;212,0185185185185;0,782573944444451
47;C;NA;NA;T;516,387755102041;144,0555555555556;43,51870825925926;53,8868017592593;6,10;6,12;0,211574590;256,3673469387755;772,755102040816;53,8868017592593;197,9444444444444;10,368093500000001
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
