Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
10;B;R.a.;P;Forb;251,8579025869416;Shoot;1,97355299008490e+02;7,83597802496442e-01
10;B;R.a.;P;Forb;251,8579025869416;Root;5,44892044617178e+01;2,16348996406448e-01
10;B;R.a.;P;Forb;251,8579025869416;Soil.F;1,33991167332826e-02;5,32010971093402e-05
10;B;R.a.;P;Forb;251,8579025869416;Soil.NF;2,51687007058283e-04;9,99321460526338e-07
10;C;R.a.;P;Forb;315,9115568011154;Shoot;1,57459152479384e+02;4,98427958995226e-01
10;C;R.a.;P;Forb;315,9115568011154;Root;1,58446504370166e+02;5,01553365044878e-01
10;C;R.a.;P;Forb;315,9115568011154;Soil.F;5,89995156555481e-03;1,86759598961717e-05
10;C;R.a.;P;Forb;315,9115568011154;Soil.NF;7,66722813747787e-04;2,42701730038475e-06
11;A;M.a.;P;Legumes;233,2602275836894;Shoot;2,09690883238248e+02;8,98956866373693e-01
11;A;M.a.;P;Legumes;233,2602275836894;Root;2,35668649002967e+01;1,01032504102489e-01
11;A;M.a.;P;Legumes;233,2602275836894;Soil.F;2,47944514493713e-03;1,06295238181895e-05
11;A;M.a.;P;Legumes;233,2602275836894;Soil.NF;5,89519940432848e-05;2,52730586152472e-07
11;B;M.a.;P;Legumes;716,0584606913419;Shoot;5,33355722124847e+02;7,44849410214219e-01
11;B;M.a.;P;Legumes;716,0584606913419;Root;1,82674998832427e+02;2,55111850303476e-01
11;B;M.a.;P;Legumes;716,0584606913419;Soil.F;2,77397340674185e-02;3,87394823051686e-05
11;B;M.a.;P;Legumes;716,0584606913419;Soil.NF;7,86000645670359e-04;1,09767664069145e-06
11;C;M.a.;P;Legumes;461,8146023854001;Shoot;2,83920289922438e+02;6,14792794458882e-01
11;C;M.a.;P;Legumes;461,8146023854001;Root;1,77883879482760e+02;3,85184614267156e-01
11;C;M.a.;P;Legumes;461,8146023854001;Soil.F;1,04329802019568e-02;2,25912739616019e-05
11;C;M.a.;P;Legumes;461,8146023854001;Soil.NF;NA;NA
12;A;T.p.;P;Legumes;233,7585004726230;Shoot;2,21671323509583e+02;9,48292032424054e-01
12;A;T.p.;P;Legumes;233,7585004726230;Root;1,20796231339971e+01;5,16756529049166e-02
12;A;T.p.;P;Legumes;233,7585004726230;Soil.F;7,55382904298632e-03;3,23146710289194e-05
12;A;T.p.;P;Legumes;233,7585004726230;Soil.NF;2,98634346238147e-04;1,27753363250686e-06
12;B;T.p.;P;Legumes;463,1771693268345;Shoot;3,96435102886873e+02;8,55903807743888e-01
12;B;T.p.;P;Legumes;463,1771693268345;Root;6,67343745271979e+01;1,44079585408295e-01
12;B;T.p.;P;Legumes;463,1771693268345;Soil.F;7,69191276323863e-03;1,66068478168252e-05
12;B;T.p.;P;Legumes;463,1771693268345;Soil.NF;2,91147222075138e-05;6,28587161362640e-08
12;C;T.p.;P;Legumes;344,8448996513238;Shoot;2,67820829373553e+02;7,76641410803376e-01
12;C;T.p.;P;Legumes;344,8448996513238;Root;7,70201226874155e+01;2,23347141759357e-01
12;C;T.p.;P;Legumes;344,8448996513238;Soil.F;3,94759035563826e-03;1,14474372671010e-05
12;C;T.p.;P;Legumes;344,8448996513238;Soil.NF;1,94815674462817e-04;5,64937091022070e-07
13;A;L.c.;P;Legumes;NA;Shoot;1,24914955492940e+02;NA
13;A;L.c.;P;Legumes;NA;Root;3,34297888071505e+01;NA
13;A;L.c.;P;Legumes;NA;Soil.F;NA;NA
13;A;L.c.;P;Legumes;NA;Soil.NF;4,17578353446443e-04;NA
13;B;L.c.;P;Legumes;848,5766614226798;Shoot;6,79875114649382e+02;8,01194689363173e-01
13;B;L.c.;P;Legumes;848,5766614226798;Root;1,68679987561197e+02;1,98779904314593e-01
13;B;L.c.;P;Legumes;848,5766614226798;Soil.F;2,15592121000352e-02;2,54063222336214e-05
13;B;L.c.;P;Legumes;848,5766614226798;Soil.NF;8,41066279855967e-04;9,91149436570502e-07
13;C;L.c.;P;Legumes;679,5953961195779;Shoot;5,18145882748857e+02;7,62432891257678e-01
13;C;L.c.;P;Legumes;679,5953961195779;Root;1,61444032055423e+02;2,37559043185478e-01
13;C;L.c.;P;Legumes;679,5953961195779;Soil.F;5,48131529801551e-03;8,06555684354732e-06
13;C;L.c.;P;Legumes;679,5953961195779;Soil.NF;1,72162217065320e-04;2,53330464050152e-07
14;A;M.s.;P;Legumes;NA;Shoot;4,35752655998141e+02;NA
14;A;M.s.;P;Legumes;NA;Root;9,25686308403501e+00;NA
14;A;M.s.;P;Legumes;NA;Soil.F;NA;NA
14;A;M.s.;P;Legumes;NA;Soil.NF;3,10571460771517e-04;NA
14;B;M.s.;P;Legumes;830,8043061501677;Shoot;7,10424904679701e+02;8,55104986120873e-01
14;B;M.s.;P;Legumes;830,8043061501677;Root;1,20353062649363e+02;1,44863311081116e-01
14;B;M.s.;P;Legumes;830,8043061501677;Soil.F;2,63388211039442e-02;3,17027980102735e-05
14;B;M.s.;P;Legumes;830,8043061501677;Soil.NF;1,16628091153313e-03;1,40379738393210e-06
14;C;M.s.;P;Legumes;571,8781848789974;Shoot;4,78794778752573e+02;8,37232108886756e-01
14;C;M.s.;P;Legumes;571,8781848789974;Root;9,30667575582729e+01;1,62738779025055e-01
14;C;M.s.;P;Legumes;571,8781848789974;Soil.F;1,66485681513469e-02;2,91120881886227e-05
14;C;M.s.;P;Legumes;571,8781848789974;Soil.NF;2,95188219744847e-04;5,16173247292699e-07
15;A;T.r.;P;Legumes;170,9005882757009;Shoot;1,61839804206729e+02;9,46982136454941e-01
15;A;T.r.;P;Legumes;170,9005882757009;Root;9,05575418069542e+00;5,29884318834904e-02
15;A;T.r.;P;Legumes;170,9005882757009;Soil.F;5,02988827601276e-03;2,94316615686450e-05
15;A;T.r.;P;Legumes;170,9005882757009;Soil.NF;1,18421742590236e-04;6,92927647499930e-07
15;B;T.r.;P;Legumes;280,9644676747188;Shoot;2,61547012484388e+02;9,30889997048270e-01
15;B;T.r.;P;Legumes;280,9644676747188;Root;1,94140518267887e+01;6,90978898059983e-02
15;B;T.r.;P;Legumes;280,9644676747188;Soil.F;3,40336354223185e-03;1,21131457311962e-05
15;B;T.r.;P;Legumes;280,9644676747188;Soil.NF;2,78864749364734e-04;9,92526747857613e-07
15;C;T.r.;P;Legumes;246,3489748936360;Shoot;2,28320367013550e+02;9,26816793583695e-01
15;C;T.r.;P;Legumes;246,3489748936360;Root;1,80270616227971e+01;7,31769297216702e-02
15;C;T.r.;P;Legumes;246,3489748936360;Soil.F;1,54625728910314e-03;6,27669463520502e-06
15;C;T.r.;P;Legumes;246,3489748936360;Soil.NF;1,25994826667375e-04;5,11448552695521e-07
