"Numero","Bloc","Sp","mod","gf","Group","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","Delta13C_cor","Type","APE15N","APE13C"
"35","A","H.l.","L","Grass","epi",87.10466667,0.398082565,0.255215071,12.76075354,-28.52364817,1.074672016,4.722785792,236.1392896,-29.03831265,"epi",191.931426666667,-35.3992033333328
"35","A","H.l.","L","Grass","epi",87.10466667,0.398082565,0.255215071,12.76075354,-28.52364817,1.074672016,4.722785792,236.1392896,-29.03831265,"epi",191.931426666667,-35.3992033333328
"36","A","G.v.","L","Forb","epi",40.64966667,0.381136228,0.896869906,22.42174766,-12.33539017,1.09090389,7.845740914,196.1435228,-10.78385882,"epi",22.4680566666668,126.919536666668
"36","A","G.v.","L","Forb","epi",40.64966667,0.381136228,0.896869906,22.42174766,-12.33539017,1.09090389,7.845740914,196.1435228,-10.78385882,"epi",22.4680566666668,126.919536666668
"36","A","G.v.","L","Forb","epi",40.64966667,0.381136228,0.896869906,22.42174766,-12.33539017,1.09090389,7.845740914,196.1435228,-10.78385882,"epi",22.4680566666668,126.919536666668
"40","A","R.a.","L","Forb","epi",4.264666667,0.367859302,0.302889286,10.09630952,-28.86622217,1.074328461,6.457826176,215.2608725,-29.27149756,"epi",-110.301203333333,-38.8347533333344
"40","A","R.a.","L","Forb","epi",4.264666667,0.367859302,0.302889286,10.09630952,-28.86622217,1.074328461,6.457826176,215.2608725,-29.27149756,"epi",-110.301203333333,-38.8347533333344
"40","A","R.a.","L","Forb","epi",4.264666667,0.367859302,0.302889286,10.09630952,-28.86622217,1.074328461,6.457826176,215.2608725,-29.27149756,"epi",-110.301203333333,-38.8347533333344
"43","A","L.c.","L","Legumes","epi",65.41566667,0.390171344,0.366654458,12.22181525,-28.84222017,1.074352532,5.695587038,189.8529013,-29.3066744,"epi",112.819216666666,-38.5940433333332
"43","A","L.c.","L","Legumes","epi",65.41566667,0.390171344,0.366654458,12.22181525,-28.84222017,1.074352532,5.695587038,189.8529013,-29.3066744,"epi",112.819216666666,-38.5940433333332
"43","A","L.c.","L","Legumes","epi",65.41566667,0.390171344,0.366654458,12.22181525,-28.84222017,1.074352532,5.695587038,189.8529013,-29.3066744,"epi",112.819216666666,-38.5940433333332
"44","A","M.s.","L","Legumes","epi",32.25266667,0.378072467,0.398416663,9.960416565,-24.36039217,1.078846998,4.155990789,103.8997697,-23.96954298,"epi",-8.16955333333314,6.35061666666603
"44","A","M.s.","L","Legumes","epi",32.25266667,0.378072467,0.398416663,9.960416565,-24.36039217,1.078846998,4.155990789,103.8997697,-23.96954298,"epi",-8.16955333333314,6.35061666666603
"44","A","M.s.","L","Legumes","epi",32.25266667,0.378072467,0.398416663,9.960416565,-24.36039217,1.078846998,4.155990789,103.8997697,-23.96954298,"epi",-8.16955333333314,6.35061666666603
"45","A","T.r.","L","Legumes","epi",32.34266667,0.378105306,0.354855923,8.871398074,-28.12106917,1.075075744,7.235352925,180.8838231,-28.38474629,"epi",-7.84116333333362,-31.3619233333329
"45","A","T.r.","L","Legumes","epi",32.34266667,0.378105306,0.354855923,8.871398074,-28.12106917,1.075075744,7.235352925,180.8838231,-28.38474629,"epi",-7.84116333333362,-31.3619233333329
"45","A","T.r.","L","Legumes","epi",32.34266667,0.378105306,0.354855923,8.871398074,-28.12106917,1.075075744,7.235352925,180.8838231,-28.38474629,"epi",-7.84116333333362,-31.3619233333329
"46","A",NA,"T","Temoins","epi",36.37466667,0.379576459,0.976684166,9.766841656,-27.84831917,1.075349271,9.158291821,91.58291821,-28.02522796,"epi",6.8703666666664,-28.6266533333324
"46","A",NA,"T","Temoins","epi",36.37466667,0.379576459,0.976684166,9.766841656,-27.84831917,1.075349271,9.158291821,91.58291821,-28.02522796,"epi",6.8703666666664,-28.6266533333324
"46","A",NA,"T","Temoins","epi",36.37466667,0.379576459,0.976684166,9.766841656,-27.84831917,1.075349271,9.158291821,91.58291821,-28.02522796,"epi",6.8703666666664,-28.6266533333324
"47","A",NA,"T","Temoins","epi",23.37066667,0.374831543,0.343775461,34.37754608,-24.75969817,1.078446583,3.501040905,350.1040905,-24.39234295,"epi",-40.5787933333335,2.34646666666727
"47","A",NA,"T","Temoins","epi",23.37066667,0.374831543,0.343775461,34.37754608,-24.75969817,1.078446583,3.501040905,350.1040905,-24.39234295,"epi",-40.5787933333335,2.34646666666727
"47","A",NA,"T","Temoins","epi",23.37066667,0.374831543,0.343775461,34.37754608,-24.75969817,1.078446583,3.501040905,350.1040905,-24.39234295,"epi",-40.5787933333335,2.34646666666727
"2","B","F.o.","P","Grass","epi",39.1495,0.380588885,0.141660811,14.16608108,-23.40801938,1.079930847,4.949232141,494.9232141,-23.18142675,"epi",16.9946266666665,17.1891066666663
"2","B","F.o.","P","Grass","epi",39.1495,0.380588885,0.141660811,14.16608108,-23.40801938,1.079930847,4.949232141,494.9232141,-23.18142675,"epi",16.9946266666665,17.1891066666663
"2","B","F.o.","P","Grass","epi",39.1495,0.380588885,0.141660811,14.16608108,-23.40801938,1.079930847,4.949232141,494.9232141,-23.18142675,"epi",16.9946266666665,17.1891066666663
"3","B","A.o.","P","Grass","epi",18.5675,0.373078843,0.110344723,0.134566735,-18.08037538,1.085518698,4.741737239,5.782606389,-17.31632883,"epi",-58.1057933333334,73.0676166666666
"3","B","A.o.","P","Grass","epi",18.5675,0.373078843,0.110344723,0.134566735,-18.08037538,1.085518698,4.741737239,5.782606389,-17.31632883,"epi",-58.1057933333334,73.0676166666666
