Numero;Bloc;Sp;gf;mod;Group;gBiomPerM2;MN.perM2
10;B;R.a.;Forbs;P;Gpos;30,09197706207858;372527300,195615709
11;B;M.a.;Leg;P;AMF;55,23782874592047;311568551,113093972
11;B;M.a.;Leg;P;SaproF;94,41006446574484;910158448,024504423
11;B;M.a.;Leg;P;Gneg;21,00883146284511;268954417,334749937
11;B;M.a.;Leg;P;Gpos;31,51738441984129;605306343,338878393
12;B;T.p.;Leg;P;AMF;43,42485052582734;328757918,666102111
12;B;T.p.;Leg;P;SaproF;70,01133254443262;854547573,665207982
12;B;T.p.;Leg;P;Gneg;15,94422161177074;261588739,387411624
12;B;T.p.;Leg;P;Gpos;24,31253114326212;608236881,473744273
13;B;L.c.;Leg;P;AMF;63,45703594105595;329536729,767306685
13;B;L.c.;Leg;P;SaproF;82,78615293675223;560866712,708403230
13;B;L.c.;Leg;P;Gneg;22,85028712637071;236362921,888290048
13;B;L.c.;Leg;P;Gpos;32,52600367786042;478913898,026049852
14;B;M.s.;Leg;P;AMF;39,36961363160488;335871211,069105566
14;B;M.s.;Leg;P;SaproF;69,62367668582465;1050423386,747899294
14;B;M.s.;Leg;P;Gneg;20,73442827023024;482241076,782164991
14;B;M.s.;Leg;P;Gpos;23,36877618243613;612564760,535906672
15;B;T.r.;Leg;P;AMF;49,54776194515752;285411368,086461663
15;B;T.r.;Leg;P;SaproF;54,29533007028310;342726856,700365603
15;B;T.r.;Leg;P;Gneg;18,10282858014273;179471232,567098498
15;B;T.r.;Leg;P;Gpos;28,07131028806321;431546239,890730381
17;B;F.o.;Grass;P+L;AMF;35,24423229081749;217366395,032119930
17;B;F.o.;Grass;P+L;SaproF;68,25442564464716;815225818,996940017
17;B;F.o.;Grass;P+L;Gneg;13,32672960145898;197131887,522784024
17;B;F.o.;Grass;P+L;Gpos;20,85084825924029;482566493,403821826
18;B;A.o.;Grass;P+L;AMF;61,37633492815473;302470087,052238345
18;B;A.o.;Grass;P+L;SaproF;85,33520822117313;584705304,993043423
18;B;A.o.;Grass;P+L;Gneg;22,37472762994394;224572483,107586086
18;B;A.o.;Grass;P+L;Gpos;32,63047467171183;477625834,349297345
19;B;D.g.;Grass;P+L;AMF;46,65941395334923;212038786,073280901
19;B;D.g.;Grass;P+L;SaproF;85,61622346008687;713918907,631858349
19;B;D.g.;Grass;P+L;Gneg;17,18697955498789;183783109,093936205
19;B;D.g.;Grass;P+L;Gpos;26,18508720969428;426593783,971750081
20;B;H.l.;Grass;P+L;AMF;73,71297307465264;347628250,331021726
20;B;H.l.;Grass;P+L;SaproF;96,70938832175111;598362653,436804891
20;B;H.l.;Grass;P+L;Gneg;25,62708381771905;238867697,829741150
20;B;H.l.;Grass;P+L;Gpos;37,16352852636001;502334410,434991777
21;B;G.v.;Forbs;P+L;AMF;69,18938183330573;260466049,540818393
21;B;G.v.;Forbs;P+L;SaproF;86,91696483890215;411037387,655907214
21;B;G.v.;Forbs;P+L;Gneg;25,03820827214635;175681938,272355646
