Numero,Bloc,Sp,mod,gf,µgCperGsoil,APE13Cppm,APE15Nppm,avail.rhizodep.µgCperGsoil,avail.litter.µgCperGsoil,avail.SOM.µgCperGsoil
35,A,H.l.,L,Grass,63.54,0,523.616111111111,0,21.882937275987157,41.657062724012846
35,B,H.l.,L,Grass,50.96,0,455.115,0,5.124962975951901,45.8350370240481
35,C,H.l.,L,Grass,36.88,0,421.09125,0,3.1582594245413613,33.72174057545864
36,A,G.v.,L,Forb,112.96,0,426.826111111111,0,15.396563908667405,97.56343609133259
36,B,G.v.,L,Forb,51.34,0,505.735,0,4.002363079675124,47.33763692032488
36,C,G.v.,L,Forb,78.04,0,398.39125,0,3.6366171958154774,74.40338280418453
38,A,P.l.,L,Forb,50.86,0,488.74611111111096,0,12.973571921117088,37.88642807888291
38,B,P.l.,L,Forb,50.64,0,372.815,0,3.8281863629415813,46.81181363705842
38,C,P.l.,L,Forb,62.76,0,432.25125,0,3.517986140157372,59.24201385984263
39,A,C.n.,L,Forb,47.56,0,264.696111111111,0,10.57667341893461,36.98332658106539
39,B,C.n.,L,Forb,51.42,0,429.705,0,8.908969423308248,42.51103057669175
39,C,C.n.,L,Forb,50.26,0,219.37125,0,2.450040318655745,47.80995968134425
40,A,R.a.,L,Forb,52.88,0,291.746111111111,0,6.295006248779516,46.58499375122049
40,B,R.a.,L,Forb,54.22,0,660.025,0,7.31916885926181,46.90083114073819
40,C,R.a.,L,Forb,50.8,0,431.25125,0,2.152522253621769,48.64747774637823
41,A,M.a.,L,Legumes,56.74,0,674.606111111111,0,15.0892264586508,41.6507735413492
41,B,M.a.,L,Legumes,38.3,0,540.775,0,5.537422520715375,32.76257747928462
41,C,M.a.,L,Legumes,87.24,0,523.29125,0,3.2380036893344073,84.00199631066559
42,A,T.p.,L,Legumes,131.18,0,533.386111111111,0,16.384338748122957,114.79566125187705
42,B,T.p.,L,Legumes,41.18,0,712.975,0,10.475266905863144,30.704733094136856
