;;;;; (µgC/gsol); (µgN/gsol); (µgN/gsol);(µgN/gsol);ppm/h/gsol ;;µgN/gsol/h; (µgC/gsol); (µgC/gsol); (µgN/gsol); (µgN/gsol);
Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN ;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;
3;B;A.o.;Grass;P;264,5;58,58;2,4432;11,23872;13,94;6,63;0,09552912;88,9;353,4;11,24;69,81;
4;B;D.g.;Grass;P;279,48;65,79;3,084661772;11,07960147;9,60;6,37;0,085111484;89,12;368,6;11,08;76,86;
5;B;H.l.;Grass;P;315,42;66,51;2,494032023;9,464531781;10,33;6,55;0,096947501;55,18;370,6;9,46;75,97;
6;B;G.v.;Forbs;P;317,84;75,68;3,299673695;10,74149096;7,39;6,31;0,088740161;54,16;372;10,74;86,42;
7;B;C.r.;Forbs;P;237,52;60,73;25,62227603;30,74673123;7,43;6,36;0,084761259;67,28;304,8;30,75;91,48;
8;B;P.l.;Forbs;P;277,92;57,34;1,919468186;8,235137702;8,45;6,42;0,067119468;51,88;329,8;8,24;65,57;
9;B;C.n.;Forbs;P;310,68;57,09;2,007400881;8,280528634;8,43;6,2;0,057210925;63,72;374,4;8,28;65,37;
10;B;R.a.;Forbs;P;314,68;68,85;2,909090909;12,11363636;9,98;6,22;0,086636364;76,12;390,8;12,11;80,97;
11;B;M.a.;Leg;P;326,3;54,41;1,947362637;12,56934066;12,91;6,24;0,053818022;76,9;403,2;12,57;66,98;
12;B;T.p.;Leg;P;244,06;45,29;5,218596208;12,11674062;9,71;6,21;0,059503994;63,74;307,8;12,12;57,40;
13;B;L.c.;Leg;P;303,56;58,30;3,165103653;11,14116486;10,22;6,18;0,067353406;79,24;382,8;11,14;69,44;
14;B;M.s.;Leg;P;237,36;53,82;5,53602812;15,43936731;11,75;6,45;0,077750439;87,64;325;15,44;69,26;
15;B;T.r.;Leg;P;218,06;57,46;3,414848032;11,88629796;5,91;6,42;0,084583159;80,94;299;11,89;69,35;
17;B;F.o.;Grass;P+L;200,38;48,60;2,550763143;10,00684002;7,07;6,31;0,094182024;71,42;271,8;10,01;58,60;
18;B;A.o.;Grass;P+L;302,8;68,37;2,793373775;12,12578161;10,05;6,22;0,0512965;78,4;381,2;12,13;80,50;
19;B;D.g.;Grass;P+L;262,38;59,07;2,739963168;9,55801105;8,16;6,41;0,080542173;62,22;324,6;9,56;68,63;
